ID;Empresa;Setor;Link;Email;Foco;Status
1;Solinftec;AgTech;https://solinftec.gupy.io/;talentos@solinftec.com;Python/Go;Para Aplicar
2;Agrosmart;AgTech;https://agrosmart.gupy.io/;rh@agrosmart.com.br;Python/Django;Para Aplicar
3;Aegro;AgTech;https://aegro.gupy.io/;talentos@aegro.com.br;Ruby/Node.js;Para Aplicar
4;Checkplant;AgTech;https://checkplant.gupy.io/;rh@checkplant.com.br;PHP/Laravel;Para Aplicar
5;Perfect Flight;AgTech;https://perfectflight.gupy.io/;rh@perfectflight.com.br;Java/Node.js;Para Aplicar
6;Gira;AgTech;https://gira.gupy.io/;talentos@gira.com.br;Python/SQL;Para Aplicar
7;Bart Digital;AgTech;https://bartdigital.gupy.io/;rh@bartdigital.com.br;Node.js/Go;Para Aplicar
8;DigiFarmz;AgTech;https://digifarmz.gupy.io/;contato@digifarmz.com;Python;Para Aplicar
9;Strider (Syngenta);AgTech;https://syngenta.gupy.io/;rh@strider.ag;Python/Django;Para Aplicar
10;Jacto Next;AgTech;https://jacto.gupy.io/;talentos@jacto.com.br;Java/Python;Para Aplicar
11;Cargill Brasil;Agro;https://cargill.gupy.io/;talentos@cargill.com;Python/SQL;Para Aplicar
12;Amaggi;Agro;https://amaggi.gupy.io/;talentos@amaggi.com.br;Java/.NET;Para Aplicar
13;Bunge Brasil;Agro;https://bunge.gupy.io/;rh@bunge.com;Java;Para Aplicar
14;Louis Dreyfus;Agro;https://ldc.gupy.io/;rh@ldc.com;Python;Para Aplicar
15;Mosaic Fertilizantes;Agro;https://mosaic.gupy.io/;rh@mosaicco.com.br;Java;Para Aplicar
16;Yara Brasil;Agro;https://yara.gupy.io/;rh@yara.com;Python/SQL;Para Aplicar
17;SLC Agrícola;Agro;https://slcagricola.gupy.io/;rh@slcagricola.com.br;Java;Para Aplicar
18;Citrosuco;Agro;https://citrosuco.gupy.io/;rh@citrosuco.com.br;Java/SAP;Para Aplicar
19;Tereos;Agro;https://tereos.gupy.io/;rh@tereos.com;Java;Para Aplicar
20;São Martinho;Agro;https://saomartinho.gupy.io/;rh@saomartinho.com.br;Java;Para Aplicar
21;Senior Sistemas;ERP/SaaS;https://senior.gupy.io/;talentos@senior.com.br;Java/Delphi;Para Aplicar
22;Matera;ERP/SaaS;https://matera.gupy.io/;talentos@matera.com;Java/Spring;Para Aplicar
23;Sankhya;ERP/SaaS;https://sankhya.gupy.io/;talentos@sankhya.com.br;Java/Oracle;Para Aplicar
24;Omie;ERP/SaaS;https://omie.gupy.io/;talentos@omie.com.br;.NET/C#;Para Aplicar
25;Superlógica;ERP/SaaS;https://superlogica.gupy.io/;rh@superlogica.com;PHP/Node.js;Para Aplicar
26;Softplan;ERP/SaaS;https://softplan.gupy.io/;talentos@softplan.com.br;Java/.NET;Para Aplicar
27;Neogrid;ERP/SaaS;https://neogrid.gupy.io/;talentos@neogrid.com;Java/Python;Para Aplicar
28;Linx;ERP/SaaS;https://linx.gupy.io/;rh@linx.com.br;C#/SQL;Para Aplicar
29;Alterdata;ERP/SaaS;https://alterdata.gupy.io/;rh@alterdata.com.br;C#/SQL;Para Aplicar
30;Vindi;ERP/SaaS;https://vindi.gupy.io/;talentos@vindi.com.br;PHP/Node.js;Para Aplicar
31;Conta Azul;ERP/SaaS;https://contaazul.gupy.io/;talentos@contaazul.com;Java;Para Aplicar
32;Solides;ERP/SaaS;https://solides.gupy.io/;talentos@solides.com.br;Ruby/PHP;Para Aplicar
33;Movidesk;ERP/SaaS;https://movidesk.gupy.io/;talentos@movidesk.com;.NET/C#;Para Aplicar
34;Octadesk;ERP/SaaS;https://octadesk.gupy.io/;rh@octadesk.com;Node.js;Para Aplicar
35;Involves;ERP/SaaS;https://involves.gupy.io/;talentos@involves.com;Java/PHP;Para Aplicar
36;Pipefy;ERP/SaaS;https://pipefy.gupy.io/;talentos@pipefy.com;Ruby/Node.js;Para Aplicar
37;Zenvia;ERP/SaaS;https://zenvia.gupy.io/;talentos@zenvia.com;Java/Node.js;Para Aplicar
38;Take Blip;ERP/SaaS;https://takeblip.gupy.io/;talentos@blip.ai;C#/Node.js;Para Aplicar
39;Rocket.Chat;ERP/SaaS;https://rocket.chat/careers;jobs@rocket.chat;Node.js/Meteor;Para Aplicar
40;Wavy (Sinch);ERP/SaaS;https://sinch.gupy.io/;talentos@sinch.com;Java/Node.js;Para Aplicar
41;Intelipost;Logística;https://intelipost.gupy.io/;talentos@intelipost.com.br;Java/Node.js;Para Aplicar
42;Logcomex;Logística;https://logcomex.gupy.io/;talentos@logcomex.com;Python/Node.js;Para Aplicar
43;Frete.com;Logística;https://frete.gupy.io/;talentos@frete.com;Go/Python;Para Aplicar
44;TruckPad;Logística;https://truckpad.gupy.io/;rh@truckpad.com.br;Python/Django;Para Aplicar
45;Tegma;Logística;https://tegma.gupy.io/;rh@tegma.com.br;Java;Para Aplicar
46;JSL;Logística;https://jsl.gupy.io/;talentos@jsl.com.br;Java;Para Aplicar
47;Santos Brasil;Logística;https://santosbrasil.gupy.io/;rh@santosbrasil.com.br;Java/.NET;Para Aplicar
48;Rumo Logística;Logística;https://rumo.gupy.io/;talentos@rumolog.com;Python/Java;Para Aplicar
49;Wilson Sons;Logística;https://wilsonsons.gupy.io/;rh@wilsonsons.com.br;Java;Para Aplicar
50;Hidrovias do Brasil;Logística;https://hidrovias.gupy.io/;rh@hbsa.com.br;Python/SQL;Para Aplicar
51;Weg;Indústria;https://weg.gupy.io/;talentos@weg.net;Java/.NET;Para Aplicar
52;Tupy;Indústria;https://tupy.gupy.io/;rh@tupy.com.br;Java/SAP;Para Aplicar
53;Klabin;Indústria;https://klabin.gupy.io/;rh@klabin.com.br;Java/Python;Para Aplicar
54;Suzano;Indústria;https://suzano.gupy.io/;rh@suzano.com.br;Java/Cloud;Para Aplicar
55;Gerdau;Indústria;https://gerdau.gupy.io/;rh@gerdau.com.br;Java/C#;Para Aplicar
56;ArcelorMittal;Indústria;https://arcelormittal.gupy.io/;rh@arcelormittal.com.br;Java/SAP;Para Aplicar
57;Usiminas;Indústria;https://usiminas.gupy.io/;rh@usiminas.com;Java;Para Aplicar
58;Dexco (Duratex);Indústria;https://dexco.gupy.io/;rh@dexco.com.br;Java;Para Aplicar
59;Votorantim;Indústria;https://votorantim.gupy.io/;talentos@votorantim.com.br;Java/Python;Para Aplicar
60;Tigre;Indústria;https://tigre.gupy.io/;rh@tigre.com.br;Java;Para Aplicar
71;Engie Brasil;Energia;https://engie.gupy.io/;rh@engie.com.br;Python/Node.js;Para Aplicar
